,DIBScore,IBScore,L,T,Tmax,alpha,beta,clamp,conv_condition,conv_steps,conv_time,ctol_abs,ctol_rel,ht,ht_x,hx,hy_t,ixt,ixy,iyt,kmeans:,numclusters,p0,ptol,real k means,repeat,repeats,zeroLtol
1,,,0.0,1.0,100.0,0.5,1.0,False,small_abs_changes_AND_single_cluster,13.0,96.64357709884644,0.001,0.0,0.0,0.0,6.643856189774725,10.66395033305528,0.0,0.14436951559535238,0.0,,,0.75,1e-08,,0.0,1.0,1.0
2,0.0,0.0,0.0,1.0,100.0,0.5,1.0,True,small_abs_changes_AND_single_cluster,14.0,96.68748426437378,0.001,0.0,0.0,0.0,6.643856189774725,10.66395033305528,0.0,0.14436951559535238,0.0,1.9386514116220324,1.0,0.75,1e-08,1.9386514116220324,0.0,1.0,1.0
3,,,0.0,1.0,100.0,0.5,2.0,False,small_abs_changes_AND_single_cluster,13.0,85.0138931274414,0.001,0.0,0.0,0.0,6.643856189774725,10.66395033305528,0.0,0.14436951559535238,0.0,,,0.75,1e-08,,0.0,1.0,1.0
4,0.0,0.0,0.0,1.0,100.0,0.5,2.0,True,small_abs_changes_AND_single_cluster,14.0,85.01954221725464,0.001,0.0,0.0,0.0,6.643856189774725,10.66395033305528,0.0,0.14436951559535238,0.0,1.9386514116220324,1.0,0.75,1e-08,1.9386514116220324,0.0,1.0,1.0
5,,,0.0,1.0,100.0,0.5,4.0,False,small_abs_changes_AND_single_cluster,12.0,78.56649804115295,0.001,0.0,0.0,0.0,6.643856189774725,10.66395033305528,0.0,0.14436951559535238,0.0,,,0.75,1e-08,,0.0,1.0,1.0
6,0.0,0.0,0.0,1.0,100.0,0.5,4.0,True,small_abs_changes_AND_single_cluster,13.0,78.57166194915771,0.001,0.0,0.0,0.0,6.643856189774725,10.66395033305528,0.0,0.14436951559535238,0.0,1.9386514116220324,1.0,0.75,1e-08,1.9386514116220324,0.0,1.0,1.0
7,,,0.0,1.0,100.0,0.5,8.0,False,small_abs_changes_AND_single_cluster,23.0,84.84751915931702,0.001,0.0,0.0,0.0,6.643856189774725,10.66395033305528,0.0,0.14436951559535238,0.0,,,0.75,1e-08,,0.0,1.0,1.0
8,0.0,0.0,0.0,1.0,100.0,0.5,8.0,True,small_abs_changes_AND_single_cluster,24.0,84.85264110565186,0.001,0.0,0.0,0.0,6.643856189774725,10.66395033305528,0.0,0.14436951559535238,0.0,1.9386514116220324,1.0,0.75,1e-08,1.9386514116220324,0.0,1.0,1.0
9,,,0.2603654899912764,6.0,100.0,0.5,16.0,False,small_abs_changes_AND_cost_func_rel_inc,16.0,82.75892996788025,0.001,0.0,1.8850449030982657,0.25699999905086257,6.643856189774725,10.570439119706432,1.6280449040474032,0.14436951559535238,0.09351121334884738,,,0.75,1e-08,,0.0,1.0,1.0
10,0.3323330915087217,0.3323330915087217,0.3323330915087217,5.0,100.0,0.5,16.0,True,small_abs_changes_AND_cost_func_rel_inc,17.0,82.76769804954529,0.001,0.0,1.8831352518286542,0.0,6.643856189774725,10.567025198035283,1.8831352518286542,0.14436951559535238,0.09692513501999578,0.5809688324269439,5.0,0.75,1e-08,0.5511714091854492,0.0,1.0,1.0
11,,,-1.0841802155912257,11.0,100.0,0.5,32.0,False,small_abs_changes,26.0,102.81818103790283,0.001,0.0,2.9431304727436927,0.2456458070688483,6.643856189774725,10.541935089780264,2.6974846656748444,0.14436951559535238,0.12201524327501545,,,0.75,1e-08,,0.0,1.0,1.0
12,-1.0177163535906284,-1.0177163535906284,-1.0177163535906284,10.0,100.0,0.5,32.0,True,small_abs_changes,27.0,102.83472609519958,0.001,0.0,2.9400416064485175,0.0,6.643856189774725,10.540270396804056,2.9400416064485175,0.14436951559535238,0.12367993625122331,0.24662972902928817,10.0,0.75,1e-08,0.24783177295098535,0.0,1.0,1.0
13,,,-5.001015099645263,18.0,100.0,0.5,64.0,False,small_abs_changes,36.0,127.62577795982361,0.001,0.0,3.5482336765046245,0.10647660247703183,6.643856189774725,10.531200169384789,3.441757074027593,0.14436951559535238,0.1327501636704902,,,0.75,1e-08,,0.0,1.0,1.0
14,-4.9745620452840384,-4.9745620452840384,-4.9745620452840384,17.0,100.0,0.5,64.0,True,small_abs_changes,37.0,127.64174890518188,0.001,0.0,3.5440613554056104,0.0,6.643856189774725,10.530846842419503,3.5440613554056104,0.14436951559535238,0.13310349063577576,0.1313943016101215,17.0,0.75,1e-08,0.12714390387236532,0.0,1.0,1.0
